SG_UF,ENSINO FUNDAMENTAL COMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MÉDIO COMPLETO,ENSINO MÉDIO INCOMPLETO,LÊ E ESCREVE,SUPERIOR COMPLETO,SUPERIOR INCOMPLETO
AC,1,0,7,0,0,31,1
AM,0,0,0,0,0,2,0
AP,0,0,1,0,0,7,0
BA,3,1,14,1,0,78,13
BR,0,0,0,0,0,2,0
CE,2,0,11,1,0,56,6
DF,0,2,2,0,0,33,3
ES,1,0,4,0,0,40,3
GO,1,3,12,0,0,44,6
MA,2,0,6,0,0,57,3
MG,3,1,10,0,1,111,12
MS,1,1,2,0,0,32,4
MT,0,0,8,2,0,23,2
PA,2,0,9,1,0,50,4
PE,1,0,14,0,0,58,9
PR,1,0,8,0,0,75,8
RJ,5,1,29,0,0,82,7
RN,0,0,7,0,0,33,0
RO,1,1,9,1,0,22,6
RR,1,0,7,0,0,31,1
RS,1,1,11,0,0,66,15
SC,0,0,9,1,0,50,4
SE,0,0,8,0,0,27,5
SP,2,1,16,0,0,134,19
TO,1,1,13,0,0,22,3
